season,date,home_team,away_team,fthg,ftag,ftr,hthg,htag,htr,hs,as,hst,ast,hc,ac,hf,af,hy,ay,hr,ar
1993/94,1993-03-10,Atalanta,Sampdoria,1,4,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Genoa,Reggiana,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Juventus,Torino,3,2,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Milan,Lazio,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Napoli,Inter,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Parma,Foggia,3,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Piacenza,Cagliari,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Roma,Cremonese,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-03-10,Udinese,Lecce,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Cagliari,Napoli,1,2,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Cremonese,Parma,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Foggia,Milan,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Inter,Torino,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Juventus,Atalanta,2,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Lazio,Piacenza,1,0,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Lecce,Genoa,0,0,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Reggiana,Udinese,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-17,Sampdoria,Roma,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Atalanta,Foggia,1,1,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Cremonese,Cagliari,3,1,H,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
1993/94,1993-10-24,Genoa,Piacenza,0,1,A,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
