version,1.7.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Pakistan
info,gender,female
info,season,2026
info,date,2026/05/09
info,event,Zimbabwe Women tour of Pakistan
info,match_number,3
info,venue,"National Stadium, Karachi"
info,city,Karachi
info,toss_winner,Zimbabwe
info,toss_decision,bat
info,player_of_match,Gull Feroza
info,umpire,N Perera
info,umpire,Saleema Imtiaz
info,reserve_umpire,Zulfiqar Jan
info,tv_umpire,Tariq Rasheed
info,match_referee,Kamran Chaudary
info,winner,Pakistan
info,winner_wickets,9
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,Kelly Ndiraya
info,player,Zimbabwe,VM Mutungwindu
info,player,Zimbabwe,B Biza
info,player,Zimbabwe,R Pasipanodya
info,player,Zimbabwe,A Zimunu
info,player,Zimbabwe,C Mutasa
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,K Chigora
info,player,Zimbabwe,L Mabhero
info,player,Zimbabwe,O Chare
info,player,Pakistan,Sadaf Shamas
info,player,Pakistan,Gull Feroza
info,player,Pakistan,Muneeba Ali
info,player,Pakistan,Ayesha Zafar
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Rameen Shamim
info,player,Pakistan,Syeda Aroob Shah
info,player,Pakistan,Tasmia Rubab
info,player,Pakistan,Diana Baig
info,player,Pakistan,Momina Riasat
info,registry,people,A Zimunu,af6c03bc
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Ayesha Zafar,e15f4fa4
info,registry,people,B Biza,8a522c6c
info,registry,people,C Mutasa,1ba50005
info,registry,people,Diana Baig,a51e6c6e
info,registry,people,Gull Feroza,9ff1e91e
info,registry,people,K Chigora,5f311f1a
info,registry,people,K Ndlovu,8d25271a
info,registry,people,Kamran Chaudary,77817be7
info,registry,people,Kelly Ndiraya,bb14ada4
info,registry,people,L Mabhero,37f9eb59
info,registry,people,Momina Riasat,27a9eb25
info,registry,people,Muneeba Ali,86fdf668
info,registry,people,N Perera,129709f9
info,registry,people,N Sibanda,edf62a25
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,O Chare,d9fb6ede
info,registry,people,R Pasipanodya,17ccd296
info,registry,people,Rameen Shamim,0b78b7c1
info,registry,people,Sadaf Shamas,f19c8dc0
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,Syeda Aroob Shah,4cf8708b
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Tasmia Rubab,bf350134
info,registry,people,VM Mutungwindu,0e130fcb
info,registry,people,Zulfiqar Jan,006de9ca
ball,1,0.1,Zimbabwe,K Ndlovu,Kelly Ndiraya,Diana Baig,0,0,,,,,,"",""
ball,1,0.2,Zimbabwe,K Ndlovu,Kelly Ndiraya,Diana Baig,4,0,,,,,,"",""
ball,1,0.3,Zimbabwe,K Ndlovu,Kelly Ndiraya,Diana Baig,0,1,,,,1,,"",""
ball,1,0.4,Zimbabwe,Kelly Ndiraya,K Ndlovu,Diana Baig,4,0,,,,,,"",""
ball,1,0.5,Zimbabwe,Kelly Ndiraya,K Ndlovu,Diana Baig,4,0,,,,,,"",""
ball,1,0.6,Zimbabwe,Kelly Ndiraya,K Ndlovu,Diana Baig,0,1,1,,,,,"",""
ball,1,0.7,Zimbabwe,Kelly Ndiraya,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,1.1,Zimbabwe,K Ndlovu,Kelly Ndiraya,Tasmia Rubab,0,1,1,,,,,"",""
ball,1,1.2,Zimbabwe,K Ndlovu,Kelly Ndiraya,Tasmia Rubab,0,0,,,,,,"",""
ball,1,1.3,Zimbabwe,K Ndlovu,Kelly Ndiraya,Tasmia Rubab,0,0,,,,,,"",""
ball,1,1.4,Zimbabwe,K Ndlovu,Kelly Ndiraya,Tasmia Rubab,1,0,,,,,,"",""
ball,1,1.5,Zimbabwe,Kelly Ndiraya,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,1.6,Zimbabwe,Kelly Ndiraya,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,1.7,Zimbabwe,Kelly Ndiraya,K Ndlovu,Tasmia Rubab,0,0,,,,,,caught,Kelly Ndiraya
ball,1,2.1,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,0,0,,,,,,"",""
ball,1,2.2,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,0,0,,,,,,"",""
ball,1,2.3,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,4,0,,,,,,"",""
ball,1,2.4,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,0,0,,,,,,"",""
ball,1,2.5,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,0,0,,,,,,"",""
ball,1,2.6,Zimbabwe,K Ndlovu,VM Mutungwindu,Diana Baig,0,0,,,,,,"",""
ball,1,3.1,Zimbabwe,VM Mutungwindu,K Ndlovu,Tasmia Rubab,2,0,,,,,,"",""
ball,1,3.2,Zimbabwe,VM Mutungwindu,K Ndlovu,Tasmia Rubab,0,0,,,,,,caught,VM Mutungwindu
ball,1,3.3,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,3.4,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,4,0,,,,,,"",""
ball,1,3.5,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,1,0,,,,,,"",""
ball,1,3.6,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,4.1,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,4.2,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,4.3,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,4.4,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,4.5,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,4.6,Zimbabwe,B Biza,K Ndlovu,Diana Baig,0,0,,,,,,"",""
ball,1,5.1,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,2,0,,,,,,"",""
ball,1,5.2,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,5.3,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,1,0,,,,,,"",""
ball,1,5.4,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,4,0,,,,,,"",""
ball,1,5.5,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,4,0,,,,,,"",""
ball,1,5.6,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,6.1,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,6.2,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,1,0,,,,,,"",""
ball,1,6.3,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,6.4,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,6.5,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,6.6,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,1,0,,,,,,"",""
ball,1,7.1,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,7.2,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,1,0,,,,,,"",""
ball,1,7.3,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,7.4,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,7.5,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,7.6,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,8.1,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,1,0,,,,,,"",""
ball,1,8.2,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,8.3,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,4,0,,,,,,"",""
ball,1,8.4,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,1,0,,,,,,"",""
ball,1,8.5,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,8.6,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,9.1,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,9.2,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,9.3,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,0,0,,,,,,"",""
ball,1,9.4,Zimbabwe,K Ndlovu,B Biza,Tasmia Rubab,1,0,,,,,,"",""
ball,1,9.5,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,4,0,,,,,,"",""
ball,1,9.6,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,0,1,1,,,,,"",""
ball,1,9.7,Zimbabwe,B Biza,K Ndlovu,Tasmia Rubab,0,0,,,,,,"",""
ball,1,10.1,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,4,0,,,,,,"",""
ball,1,10.2,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,10.3,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,10.4,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,4,0,,,,,,"",""
ball,1,10.5,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,1,0,,,,,,"",""
ball,1,10.6,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,0,0,,,,,,"",""
ball,1,11.1,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,0,0,,,,,,"",""
ball,1,11.2,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,0,0,,,,,,"",""
ball,1,11.3,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,2,0,,,,,,"",""
ball,1,11.4,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,0,0,,,,,,"",""
ball,1,11.5,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,1,0,,,,,,"",""
ball,1,11.6,Zimbabwe,B Biza,K Ndlovu,Momina Riasat,0,0,,,,,,"",""
ball,1,12.1,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,4,0,,,,,,"",""
ball,1,12.2,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,12.3,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,12.4,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,12.5,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,12.6,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,13.1,Zimbabwe,B Biza,K Ndlovu,Momina Riasat,0,0,,,,,,"",""
ball,1,13.2,Zimbabwe,B Biza,K Ndlovu,Momina Riasat,0,0,,,,,,"",""
ball,1,13.3,Zimbabwe,B Biza,K Ndlovu,Momina Riasat,4,0,,,,,,"",""
ball,1,13.4,Zimbabwe,B Biza,K Ndlovu,Momina Riasat,1,0,,,,,,"",""
ball,1,13.5,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,0,0,,,,,,"",""
ball,1,13.6,Zimbabwe,K Ndlovu,B Biza,Momina Riasat,0,0,,,,,,"",""
ball,1,14.1,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,1,0,,,,,,"",""
ball,1,14.2,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,1,0,,,,,,"",""
ball,1,14.3,Zimbabwe,B Biza,K Ndlovu,Rameen Shamim,1,0,,,,,,"",""
ball,1,14.4,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,14.5,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
ball,1,14.6,Zimbabwe,K Ndlovu,B Biza,Rameen Shamim,0,0,,,,,,"",""
