match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.1,St Kitts and Nevis Patriots,Guyana Amazon Warriors,ADS Fletcher,E Lewis,D Pretorius,0,5,5,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.2,St Kitts and Nevis Patriots,Guyana Amazon Warriors,ADS Fletcher,E Lewis,D Pretorius,4,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.3,St Kitts and Nevis Patriots,Guyana Amazon Warriors,ADS Fletcher,E Lewis,D Pretorius,1,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.4,St Kitts and Nevis Patriots,Guyana Amazon Warriors,E Lewis,ADS Fletcher,D Pretorius,0,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.5,St Kitts and Nevis Patriots,Guyana Amazon Warriors,E Lewis,ADS Fletcher,D Pretorius,0,1,1,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.6,St Kitts and Nevis Patriots,Guyana Amazon Warriors,E Lewis,ADS Fletcher,D Pretorius,0,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.7,St Kitts and Nevis Patriots,Guyana Amazon Warriors,E Lewis,ADS Fletcher,D Pretorius,0,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,0.8,St Kitts and Nevis Patriots,Guyana Amazon Warriors,E Lewis,ADS Fletcher,D Pretorius,0,0,,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,1.1,St Kitts and Nevis Patriots,Guyana Amazon Warriors,ADS Fletcher,E Lewis,S Joseph,0,1,1,,,,,,,,
1477973,2025,2025-08-15,"Warner Park, Basseterre, St Kitts",1,1.2,St Kitts and Nevis Patriots,Guyana Amazon Warriors,ADS Fletcher,E Lewis,S Joseph,1,0,,,,,,,,,
