version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Pakistan
info,gender,male
info,season,2025/26
info,date,2026/03/15
info,event,Pakistan tour of Bangladesh
info,match_number,3
info,venue,"Shere Bangla National Stadium, Mirpur"
info,city,Dhaka
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,Tanzid Hasan
info,umpire,HDPK Dharmasena
info,umpire,Masudur Rahman
info,reserve_umpire,Morshed Ali Khan
info,tv_umpire,AT Holdstock
info,match_referee,Neeyamur Rashid
info,winner,Bangladesh
info,winner_runs,11
info,player,Bangladesh,Saif Hassan
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Nahid Rana
info,player,Pakistan,Sahibzada Farhan
info,player,Pakistan,Maaz Sadaqat
info,player,Pakistan,Ghazi Ghori
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Abdul Samad
info,player,Pakistan,Agha Salman
info,player,Pakistan,Saad Masood
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Abrar Ahmed
info,registry,people,AT Holdstock,6fa3258c
info,registry,people,Abdul Samad,8e554b6b
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Afif Hossain,37138918
info,registry,people,Agha Salman,89c16049
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Ghazi Ghori,28b61a48
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Liton Das,0404d43c
info,registry,people,Maaz Sadaqat,6d9560f3
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nahid Rana,5318ee68
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Saad Masood,b2498b5d
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
ball,1,0.1,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.5,Bangladesh,Tanzid Hasan,Saif Hassan,Shaheen Shah Afridi,0,1,,,,1,,"",""
ball,1,0.6,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,1.2,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,4,0,,,,,,"",""
ball,1,1.3,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,6,0,,,,,,"",""
ball,1,1.6,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,2.1,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.2,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.3,Bangladesh,Tanzid Hasan,Saif Hassan,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,2.4,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,2.5,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,Saif Hassan,Tanzid Hasan,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,4,0,,,,,,"",""
ball,1,3.2,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,3.3,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,3.4,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
ball,1,3.5,Bangladesh,Tanzid Hasan,Saif Hassan,Haris Rauf,0,0,,,,,,"",""
